RT @EgyTweets RT @CandiCunningham: There are more pyramids in Peru than in Egypt #coolfacts	[u'http://en.wikipedia.org/wiki/Peru', u'http://en.wikipedia.org/wiki/Egypt']
RT @OptaJoe: 12 - Peter Crouch has scored 12 Champions League goals in 29 appearances, compared to 60 in 239 in the Premier League. Nachos.	[u'http://en.wikipedia.org/wiki/Peter_Crouch', u'http://en.wikipedia.org/wiki/UEFA_Champions_League', u'http://en.wikipedia.org/wiki/Premier_League']
RT @OMGFacts: Detroit is located NORTH of Canada! Details --> http://bit.ly/cDxGFW	[u'http://en.wikipedia.org/wiki/Detroit', u'http://en.wikipedia.org/wiki/Canada']
Florence: The Cultural Capital of Europe http://t.co/XgpDBC9 via @sfgate	[u'http://en.wikipedia.org/wiki/Florence', u'http://en.wikipedia.org/wiki/Europe']
RT @ISRAEL21C: Director Bergman wins second Tokyo Film Festival prize http://su.pr/1usSq8 #Israel #film	[u'http://en.wikipedia.org/wiki/Ingmar_Bergman', u'http://en.wikipedia.org/wiki/Tokyo']
Sad news... RIP Peter Christopherson, directed videos for RATM, NIN, Ministry, and many others. http://bit.ly/bia801 CC: @tmorello	[u'http://en.wikipedia.org/wiki/Peter_Christopherson', u'http://en.wikipedia.org/wiki/NIN_%28magazine%29', u'http://en.wikipedia.org/wiki/Ministry_%28band%29']
RT @LAhistory: Nov 25, 1920: Auto racer Gaston Chevrolet (bro to Chevrolet founder) died in race @ Beverly Hills Speedway. @Wired: http: ...	[u'http://en.wikipedia.org/wiki/Gaston_Chevrolet', u'http://en.wikipedia.org/wiki/Beverly_Hills_Speedway']
RT @nytimesarts: Arts, Briefly: Ana Maria Matute Wins Cervantes Prize http://nyti.ms/e5Qieg	[u'http://en.wikipedia.org/wiki/Ana_Mar%C3%ADa_Matute']
Richard Branson scoops German media prize - Yahoo! News http://yhoo.it/hZ1wf6	[u'http://en.wikipedia.org/wiki/Richard_Branson', u'http://en.wikipedia.org/wiki/Germany', u'http://en.wikipedia.org/wiki/Yahoo%21']
I am watching SHINE A LIGHT, the Rolling Stones concert doc directed by Martin Scorsese on VH1 Classics.  Bill (cont) http://tl.gd/765t4b	[u'http://en.wikipedia.org/wiki/Martin_Scorsese']
RT @TPO_Hisself: I was wrong, I admit it... Obama is the smartest democrat in America, and CLEARLY deserves the Nobel Prize!!!    http:/ ...	[u'http://en.wikipedia.org/wiki/Barack_Obama', u'http://en.wikipedia.org/wiki/United_States', u'http://en.wikipedia.org/wiki/Nobel_Prize']
RT @BreakingNews: Veteran comic actor Leslie Nielsen, 84, has died in Ft. Lauderdale, Fla. - CJOB radio http://bit.ly/h9yDyA	[u'http://en.wikipedia.org/wiki/Leslie_Nielsen', u'http://en.wikipedia.org/wiki/Fort_Lauderdale%2C_Florida', u'http://en.wikipedia.org/wiki/Florida']
India's exports of gems & jewellery up by 41.6 from April to Oct. to US$ 21.4 billion vs. US$ 15.1 billion in same period last year	[u'http://en.wikipedia.org/wiki/India']
RT @ShowbizSpy: Ben Affleck Could Have Directed Superman http://bit.ly/dX3yMG	[u'http://en.wikipedia.org/wiki/Ben_Affleck']
RT @Yesterday_Today: 2001: Music - the "quiet Beatle," George Harrison, died in Los Angeles, Ca, after a long battle with cancer at age  ...	[u'http://en.wikipedia.org/wiki/The_Beatles', u'http://en.wikipedia.org/wiki/George_Harrison', u'http://en.wikipedia.org/wiki/Los_Angeles']
RT @espn: Alabama PA announcer fired for songs directed at Auburn's Cam Newton - http://es.pn/dUvP8X	[u'http://en.wikipedia.org/wiki/Auburn_Tigers_football', u'http://en.wikipedia.org/wiki/Cam_Newton']
In 1900, Irish writer Oscar Wilde died in Paris at age 46.	[u'http://en.wikipedia.org/wiki/Irish_people', u'http://en.wikipedia.org/wiki/Oscar_Wilde', u'http://en.wikipedia.org/wiki/Paris']
RT @history_travel: Beirut Lebanon: Beirut is the capital of Lebanon and is the largest city of the country. The city is located on ...  ...	[u'http://en.wikipedia.org/wiki/Beirut', u'http://en.wikipedia.org/wiki/Beirut', u'http://en.wikipedia.org/wiki/Lebanon']
RT @TheAtlantic: By blocking Liu Xiaobo's family from collecting his Nobel Prize, China raises its value: http://ow.ly/3i5xi	[u'http://en.wikipedia.org/wiki/Liu_Xiaobo', u'http://en.wikipedia.org/wiki/Nobel_Prize', u'http://en.wikipedia.org/wiki/China']
RT @WirelessFest: Congrats to Greg Snelgrove who is the winner of our 'Festival Survey' prize draw! Keep your eyes peeled for more compe ...	[]
RT @IMDb: Catherine Hardwicke is in talks to direct 'Maze Runners', a film adaptation of James Dashner's sci-fi trilogy. http://imdb.to/ ...	[u'http://en.wikipedia.org/wiki/Catherine_Hardwicke', u'http://en.wikipedia.org/wiki/James_Dashner']
Wesley Snipes must report to prison authorities in Pennsylvania by 9 December  http://imdb.to/euQjSO	[u'http://en.wikipedia.org/wiki/Wesley_Snipes', u'http://en.wikipedia.org/wiki/Pennsylvania']
RT @ebertchicago: Richard Pryor died in 2005. "Next I'm doing Hamlet." http://j.mp/hDKIpi	[u'http://en.wikipedia.org/wiki/Richard_Pryor']
RT @HotelChatter: Gansevoort Park opens a Lacoste store today, an Italian restaurant this weekend: http://bit.ly/fkODRL	[u'http://en.wikipedia.org/wiki/Lacoste', u'http://en.wikipedia.org/wiki/Italy']
RT @HLNTV: Just In: Russia will host the 2018 FIFA #WorldCup. #HLN	[u'http://en.wikipedia.org/wiki/Russia', u'http://en.wikipedia.org/wiki/FIFA']
Alan J. Pakula directed Jane Fonda and Donald Sutherland in Klute (1971).  http://is.gd/i6f4i	[u'http://en.wikipedia.org/wiki/Alan_J._Pakula', u'http://en.wikipedia.org/wiki/Jane_Fonda', u'http://en.wikipedia.org/wiki/Donald_Sutherland']
RT @euronews: Qatar to host FIFA World Cup in 2022 #fifa #worldcup	[u'http://en.wikipedia.org/wiki/Qatar', u'http://en.wikipedia.org/wiki/FIFA']
RT @qikipedia: The Salt Palace Hotel in Bolivia is built entirely of salt	[u'http://en.wikipedia.org/wiki/Bolivia']
RT @FIFAcom: FIFA.com takes a closer look at TP Mazembe Englebert and their ambitions for the FIFA Club World Cup in December - http://d ...	[u'http://en.wikipedia.org/wiki/FIFA', u'http://en.wikipedia.org/wiki/FIFA']
RT @legallawwatch: Viacom tries to revive lawsuit to get damages from YouTube: Viacom Inc., the owner of MTV, Comedy Central and Ni... h ...	[u'http://en.wikipedia.org/wiki/Viacom', u'http://en.wikipedia.org/wiki/Viacom', u'http://en.wikipedia.org/wiki/MTV', u'http://en.wikipedia.org/wiki/Ni_Ni']
BBC: US poet wins Dylan Thomas prize http://is.gd/ibWvK	[u'http://en.wikipedia.org/wiki/BBC', u'http://en.wikipedia.org/wiki/United_States', u'http://en.wikipedia.org/wiki/Dylan_Thomas']
RT @ESPNsoccernet: Liverpool's Fernando Torres claims prize: Liverpool's Fernando Torres has been rewarded for his goalscoring perf... h ...	[u'http://en.wikipedia.org/wiki/Liverpool', u'http://en.wikipedia.org/wiki/Fernando_Torres', u'http://en.wikipedia.org/wiki/Liverpool', u'http://en.wikipedia.org/wiki/Fernando_Torres']
RT @ebertchicago: Frank Zappa died in 1993. "Into the, into the RE-productive orifice of a lady harpist, and you were a dwarf, would you ...	[u'http://en.wikipedia.org/wiki/Frank_Zappa']
In 1791, composer Wolfgang Amadeus Mozart died in Vienna, Austria, at age 35.	[u'http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', u'http://en.wikipedia.org/wiki/Vienna', u'http://en.wikipedia.org/wiki/Austria']
RT @EgyTweets: RT @Zeinobia: ElBaradei Harassed At The Cairo International Airport #Egypt #citizenJournalism #politics ? http://bit.ly/f ...	[u'http://en.wikipedia.org/wiki/Mohamed_ElBaradei', u'http://en.wikipedia.org/wiki/Cairo']
FC Twente v Tottenham preview http://bit.ly/hB5hnR	[u'http://en.wikipedia.org/wiki/FC_Twente', u'http://en.wikipedia.org/wiki/Tottenham']
RT @whereartyou_uk: Susan Philipsz won the Turner Prize - http://tiny.cc/mrvt5 If you are in London, see her work for free - http://tiny ...	[u'http://en.wikipedia.org/wiki/Susan_Philipsz', u'http://en.wikipedia.org/wiki/Turner_Prize', u'http://en.wikipedia.org/wiki/London']
RT @EgyTweets: RT @ProfCasperelli: March 26: Bafana v Egypt at FNB Stadium. March 27: Kings of Leon at FNB Stadium. I foresee problems.	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Leon_County%2C_Florida']
RT @palestine: Israel allows Gaza to add flowers to farm exports - Reuters http://bit.ly/hUCiOf	[u'http://en.wikipedia.org/wiki/Israel', u'http://en.wikipedia.org/wiki/Gaza', u'http://en.wikipedia.org/wiki/Reuters']
China to award Confucius Peace Prize http://dlvr.it/9zJpt	[u'http://en.wikipedia.org/wiki/China']
RT @washingtonpost: Liu Xiaobo will be the first #Nobel Peace Prize recipient to not attend the award ceremony since 1935. http://wapo.s ...	[u'http://en.wikipedia.org/wiki/Liu_Xiaobo', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize']
RT @EgyTweets: RT @TarikSalama: Mubarak may criticize Qatar, and perhaps Syria, as Iranian surrogates. #cablegate #Egypt #politics  http ...	[u'http://en.wikipedia.org/wiki/Hosni_Mubarak', u'http://en.wikipedia.org/wiki/Qatar', u'http://en.wikipedia.org/wiki/Syria', u'http://en.wikipedia.org/wiki/Iranian_peoples']
RT @EgyTweets: RT @MissWann: The most beautiful women in egypt, she's a legend too. She's Nefertiti	[u'http://en.wikipedia.org/wiki/Egypt']
Javier Bardem played Anton Chigurh in "No Country for Old Men" directed by Joe & Ethan Coen. http://is.gd/iKfgK	[u'http://en.wikipedia.org/wiki/Javier_Bardem', u'http://en.wikipedia.org/wiki/Anton_Chigurh', u'http://en.wikipedia.org/wiki/Joe_%28singer%29', u'http://en.wikipedia.org/wiki/Coen_brothers']
@DulceMaria > Sweet Dawn is a foundation created and directed by actress and singer Dulce Maria  : http://www.dulceamanecer.com.mx/	[u'http://en.wikipedia.org/wiki/Dulce_Mar%C3%ADa']
RT @new_Parishotels: In Paris? Visit The Tower Montparnasse and experience the panoramic view of the city http://bit.ly/a9urQh #hotel #t ...	[u'http://en.wikipedia.org/wiki/Paris', u'http://en.wikipedia.org/wiki/Montparnasse']
RT @new_Parishotels: Stay at Hotel du Lys and visit The Luxembourg Gardens http://bit.ly/bPAEJX #hotel #travel #Paris #deals	[u'http://en.wikipedia.org/wiki/Luxembourg']
RT @headlinenews: CNN: Violence flares in Ivory Coast: Explosions and gunfire were heard Thursday in the capital of the Ivory Coas... ht ...	[u'http://en.wikipedia.org/wiki/Ivory_Coast']
RT @LarryTaunton: The Battle of Verdun ended on this day in 1916. I've been there. Haunting. 1.5 million casualties. Homo homini lupus:  ...	[u'http://en.wikipedia.org/wiki/Verdun']
Obama should be stripped of his Nobel Peace Prize for drones, get Nobel War Crime Prize. Julian Assange for Nobel Peace Prize.	[u'http://en.wikipedia.org/wiki/Barack_Obama', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Julian_Assange', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize']
London Named Tuberculosis Capital Of Western Europe - Health News - redOrbit http://t.co/cVWQya4 #health #disease	[]
Ancient Thai capital of #Ayutthaya, #Thailand. http://yfrog.com/h2cppnj	[u'http://en.wikipedia.org/wiki/Thailand']
Xo Paris Hilton Pictures - Paris Hilton Presents Supermatxe Motorbikes in Madrid - Zimbio http://goo.gl/aRMlT	[u'http://en.wikipedia.org/wiki/Paris', u'http://en.wikipedia.org/wiki/Madrid']
#DarkAngel was directed by James Cameron - who would've thought...	[u'http://en.wikipedia.org/wiki/James_Cameron']
Leonardo Di Caprio would have never acted in unstoppable	[u'http://en.wikipedia.org/wiki/Leonardo_DiCaprio']
RT @LifelineLive: Paris Hilton launches new motorcycle racing team http://usat.ly/e0YHaB	[u'http://en.wikipedia.org/wiki/Paris_Hilton']
RT @ebertchicago: John Steinbeck died in 1968. "Wherever there's a fight, so hungry people can eat, I'll be there." http://bit.ly/fHlUpv	[u'http://en.wikipedia.org/wiki/John_Steinbeck']
To/@ParisHilton TRUe :Paris Hilton Is Pregnant? | The Stir http://goo.gl/8oyKl	[u'http://en.wikipedia.org/wiki/Paris']
RT @TMZ: Paris Hilton and other passengers on a Delta flight from Los Angeles to Maui were taken off the plane at LAX, af... http://bit. ...	[u'http://en.wikipedia.org/wiki/Paris_Hilton', u'http://en.wikipedia.org/wiki/River_delta', u'http://en.wikipedia.org/wiki/Los_Angeles', u'http://en.wikipedia.org/wiki/Maui', u'http://en.wikipedia.org/wiki/LAX_%28TV_series%29']
RT @peoplemag: Paris Hilton's flight to Hawaii evacuated after knife found on board: http://ow.ly/3sNFJ	[u'http://en.wikipedia.org/wiki/Paris_Hilton', u'http://en.wikipedia.org/wiki/Hawaii']
RT @JohnHamptonK: No Tells: Best Poetry Books of 2010 - Lucy Biederman: Lucy Biederman graduated from George Mason University's MF... ht ...	[u'http://en.wikipedia.org/wiki/George_Mason_University']
RT @derekrootboy: Has David Cameron not acted illegally by handing Jeremy Hunt decision on BSkyB? They're both in Rupert Murdoch's pocke ...	[u'http://en.wikipedia.org/wiki/David_Cameron', u'http://en.wikipedia.org/wiki/Jeremy_Hunt_%28politician%29', u'http://en.wikipedia.org/wiki/Rupert_Murdoch']
FACT: When table tennis was originally created in 1889, it was called gossima.	[]
BBC: Lebanese film Stray Bullet wins Dubai film prize http://is.gd/jdHIm	[u'http://en.wikipedia.org/wiki/BBC', u'http://en.wikipedia.org/wiki/Lebanon', u'http://en.wikipedia.org/wiki/Dubai']
RT @ebertchicago: Today Nathanael West (Day of the Locust, Miss Lonelyhearts) died in a crash while driving to Scott Fitzgerald's funera ...	[u'http://en.wikipedia.org/wiki/Nathanael_West', u'http://en.wikipedia.org/wiki/Scott_Fitzgerald_%28footballer_born_1969%29']
BBC: Graffiti artist Banksy up for London critics film prize http://is.gd/jfDdQ  http://yfrog.com/h4x14ij	[u'http://en.wikipedia.org/wiki/BBC', u'http://en.wikipedia.org/wiki/Banksy', u'http://en.wikipedia.org/wiki/London']
@Yoda_Bot Frank Oz Born in Hereford, England, born Frank Oznowicz graduated from California's Oakland City College, Muppets, Yoda #Sithmas	[u'http://en.wikipedia.org/wiki/Hereford', u'http://en.wikipedia.org/wiki/England', u'http://en.wikipedia.org/wiki/Frank_Oz', u'http://en.wikipedia.org/wiki/California', u'http://en.wikipedia.org/wiki/Laney_College']
RT @sbtrib: South Bend Tribune: First black woman said to have graduated from Notre Dame dies http://bit.ly/h15d7N	[]
RT @Arsenal_Chris: Marouane Chamakh believes he can establish himself as one of the best strikers in the Premier League.	[u'http://en.wikipedia.org/wiki/Marouane_Chamakh', u'http://en.wikipedia.org/wiki/Premier_League']
RT @wsjindia: India Tightens Rules on Cotton Exports http://on.wsj.com/eV2UD9	[u'http://en.wikipedia.org/wiki/India']
FACT: Dr. William Moulton Marston, the man who created Wonder Woman, also designed an early lie detector.	[u'http://en.wikipedia.org/wiki/William_Moulton_Marston']
FIFA 11 on xbox 360 nice 1 bro!. :D	[u'http://en.wikipedia.org/wiki/FIFA']
RT @OMGFacts: 300 million years ago, the United Kingdom was located at the Equator. It's climate was like Central Africa is now.	[u'http://en.wikipedia.org/wiki/United_Kingdom', u'http://en.wikipedia.org/wiki/Central_African_Empire']
RT @cnnbrk: Tour bus in which 8 U.S. #tourists died in Aswan, #Egypt, crashed into parked dump truck loaded with sand. http://on.cnn.com ...	[u'http://en.wikipedia.org/wiki/Tour_de_France', u'http://en.wikipedia.org/wiki/United_States', u'http://en.wikipedia.org/wiki/Aswan']
Dimitar Berbatov scored twice as Manchester United eased past Sunderland to stay firmly in control of the Premier League title race.	[u'http://en.wikipedia.org/wiki/Dimitar_Berbatov', u'http://en.wikipedia.org/wiki/Manchester_United_F.C.', u'http://en.wikipedia.org/wiki/Sunderland_A.F.C.', u'http://en.wikipedia.org/wiki/Premier_League']
In 1972, the 33rd president of the United States, Harry S. Truman, died in Kansas City, Mo., at age 88.	[u'http://en.wikipedia.org/wiki/United_States', u'http://en.wikipedia.org/wiki/Harry_S._Truman', u'http://en.wikipedia.org/wiki/Kansas_City%2C_Missouri', u'http://en.wikipedia.org/wiki/Missouri']
In 2006, former President Gerald R. Ford died in Rancho Mirage, Calif., at age 93.	[u'http://en.wikipedia.org/wiki/Gerald_Ford', u'http://en.wikipedia.org/wiki/Rancho_Mirage%2C_California', u'http://en.wikipedia.org/wiki/California']
Luchino Visconti directed Marcello Mastroianni, Anna Karina and Bernard Blier in "The Stranger" (1967) http://is.gd/jvtUQ	[u'http://en.wikipedia.org/wiki/Luchino_Visconti', u'http://en.wikipedia.org/wiki/Marcello_Mastroianni', u'http://en.wikipedia.org/wiki/Anna_Karina', u'http://en.wikipedia.org/wiki/Bernard_Blier']
Manchester United maintained their Premier League leadership with a routine 2-0 win against Sunderland at Old Trafford.	[u'http://en.wikipedia.org/wiki/Manchester_United_F.C.', u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/Sunderland_A.F.C.', u'http://en.wikipedia.org/wiki/Old_Trafford']
Michael Caton-Jones directed Liam Neeson, Jessica Lange and John Hurt in "Rob Roy" (1995)  http://is.gd/jvJ0w	[u'http://en.wikipedia.org/wiki/Michael_Caton-Jones', u'http://en.wikipedia.org/wiki/Liam_Neeson', u'http://en.wikipedia.org/wiki/Jessica_Lange', u'http://en.wikipedia.org/wiki/John_Hurt', u'http://en.wikipedia.org/wiki/Rob_Roy_%281995_film%29']
RT @rolandsmartin: Mike Gardner, the manager of @teenamarie, just told me that it is true: the legendary R&B singer has indeed died.	[u'http://en.wikipedia.org/wiki/Mike_Gardner']
RT @AJEnglish: Snakes creeping out Bangkok: As the capital of Thailand continues growing, it is encroaching on the habitat of t... http: ...	[u'http://en.wikipedia.org/wiki/Bangkok', u'http://en.wikipedia.org/wiki/Thailand']
RT @IMDb: Congratulations are in order for Natalie Portman, who's engaged to choreographer Benjamin Millepied, and pregnant too http://i ...	[u'http://en.wikipedia.org/wiki/Natalie_Portman', u'http://en.wikipedia.org/wiki/Benjamin_Millepied']
RT @HackneyAbbott: David Milliband becomes "Our Man in Washington" Consolation prize for losing Labour leadership. http://t.co/CEJmA2k	[u'http://en.wikipedia.org/wiki/David_Miliband', u'http://en.wikipedia.org/wiki/Washington_%28state%29']
RT @AS_carrusel: PREMIER LEAGUE.  Gol: Manchester C. 2 (Lescott min. 13) - Aston Villa 0	[u'http://en.wikipedia.org/wiki/Joleon_Lescott', u'http://en.wikipedia.org/wiki/Aston_Villa_F.C.']
RT @ebertchicago: Sam Peckinpah died in 1984. I was at the Bahamas junket when "The Wild Bunch" stirred froths of rage. http://bit.ly/9KSZ1S	[u'http://en.wikipedia.org/wiki/Sam_Peckinpah', u'http://en.wikipedia.org/wiki/The_Bahamas', u'http://en.wikipedia.org/wiki/Wild_Bunch']
RT @USDOL: DOL awards nearly $20 million to combat exploitive child labor in Bolivia, Egypt and Jordan [12/29/2010] http://bit.ly/hIVGai	[u'http://en.wikipedia.org/wiki/Bolivia', u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Jordan']
RT @museummedia: RT @PostalMuseum Wonderful video, "History of U.S. Postage," created by design student Catheryn Davenel: http://ht.ly/3vPBT	[u'http://en.wikipedia.org/wiki/United_States']
Gillian Armstrong directed "Love, Lust & Lies" (2009)  http://is.gd/jJ7R5	[u'http://en.wikipedia.org/wiki/Gillian_Armstrong']
RT @CraftGossip: Top 10 Projects from 2010: Shellie, the owner of Craft Gossip, was kind enough to let me start the Home & Garden... htt ...	[u'http://en.wikipedia.org/wiki/Shellie_McMillon']
RT @washingtonpost: Notable figures who died in 2010: J.D. Salinger, Gary Coleman, Dorothy Height, Rue McClanahan, many others. PHOTOS:  ...	[u'http://en.wikipedia.org/wiki/J._D._Salinger', u'http://en.wikipedia.org/wiki/Gary_Coleman', u'http://en.wikipedia.org/wiki/Dorothy_Height', u'http://en.wikipedia.org/wiki/Rue_McClanahan']
RT @governpoint: William Greider's critique of the traditional media's Social Security failure: Via digby, Nyhan Prize winner and... htt ...	[u'http://en.wikipedia.org/wiki/William_Greider', u'http://en.wikipedia.org/wiki/Denis_Nyhan']
RT @BreakingNews: Explosion reported at a Coptic church in Alexandria, Egypt; several killed - BBC.com http://bbc.in/exGCJo	[u'http://en.wikipedia.org/wiki/Coptic_language', u'http://en.wikipedia.org/wiki/Alexandria', u'http://en.wikipedia.org/wiki/Egypt']
Watching "Collateral" (2004) with Tom Cruise Jamie Farr.  Never saw it except bits and pieces.  Good Hyper-Action ---  http://imdb.to/hFK4uy	[]
Istanbul thrives as the new party capital of Europe http://t.co/I2M3d69 via @guardian	[u'http://en.wikipedia.org/wiki/Istanbul', u'http://en.wikipedia.org/wiki/Europe']
RT @ReutersMoney: Iran says no gap in oil exports to India http://in.reuters.com/article/idINIndia-53879120110102	[u'http://en.wikipedia.org/wiki/Iran', u'http://en.wikipedia.org/wiki/India']
Kenneth Branagh directed Robert De Niro, himself and Helena Bonham Carter in "Frankenstein" (1994). http://is.gd/jYBun	[u'http://en.wikipedia.org/wiki/Kenneth_Branagh', u'http://en.wikipedia.org/wiki/Robert_De_Niro', u'http://en.wikipedia.org/wiki/Helena_Bonham_Carter']
RT @artinfodotcom: The late Malcom McLaren on his film "Paris, Capital of the 21st Century" and why the old guys are the most radical: h ...	[u'http://en.wikipedia.org/wiki/Malcolm_McLaren', u'http://en.wikipedia.org/wiki/Paris']
RT @IMDb: More sad news... Actress Annie Francis, best known for 'Forbidden Planet', died Sunday at age 80. http://imdb.to/gJHRyX #resti ...	[]
When I used to hear Donnell Jones "Where I'll Go" it was time to turn off my TAPE before it played Lucy Pearl"s Dance 2nite video!!	[u'http://en.wikipedia.org/wiki/Lucy_Pearl']
Texas A & M d. Abilene Christian, 5-3 in exhibition. Other than dubs for ACU, Jake Hendrie d Calon Alpar 76 76 in all-centex match	[u'http://en.wikipedia.org/wiki/Association_of_Commonwealth_Universities']
Notre Dame vs Marquette Live NCAA Basketball Stream Online TV Link ...: Watch basketball match live online on yo... http://bit.ly/gxvDL3	[]
Australia Vs England live free 3rd One Day International Cricket match... http://ff.im/wGZDo	[u'http://en.wikipedia.org/wiki/Australia', u'http://en.wikipedia.org/wiki/England', u'http://en.wikipedia.org/wiki/International_Cricket']
#tennis Amazing match between Schiavone vs Kuznetsova. Epic match!	[u'http://en.wikipedia.org/wiki/Francesca_Schiavone', u'http://en.wikipedia.org/wiki/Svetlana_Kuznetsova']
Schiavone beats Kuznetsova 16-14 in the third.... the prize.... a match against the Kangaroo fighter herself Caroline Wozniacki	[u'http://en.wikipedia.org/wiki/Francesca_Schiavone', u'http://en.wikipedia.org/wiki/Svetlana_Kuznetsova']
